D Mart (Galleria Mall),"Galleria Mall, Akota, Vadodara - 390020, Near Ajitnagar Society, Opposite Geb School",+(91)-0265-3079100
Bansal Super Market,"5, Dipavli Society, Water Tank Road, Karelibaug, Vadodara - 390018, Near Amrapali Complex",+(91)-9427983314
Alembic Employees Co Op Sup..,"Alembic Tower, Subhanpura Road, Subhanpura, Vadodara - 390023, Near Gunjan Tower",+(91)-265-2290733
Harni Super Market,"Shop No-1 to 6 Dev Aashish Square Opp. Shree Balaji Party Plot, Harni, Harni, Vadodara - 390022, Near Motnath Mahadev Road",+(91)-9714577747
Bansal Store,"Pani Tanki Road, Vadodara - 390018, Karelibagh",+(91)-9974483096
Shree Goverdhan Provision S..,"25, Harinagar Society, Gotri Road, Gotri Road, Vadodara - 390021",+(91)-0265-2396781
Rajlakshmi Super Store,"15/16, Signet Plaza, Gotri Road, Vadodara - 390021, Near Kunal Cross Road",+(91)-9735983900
Jalaram Provision Store,"Chokdi, Gujarat, Muval, Vadodara - 391430",+(91)-9879090250
Apexa Dry Fruits Stores,"4, Sandeep Apartment, R C Dutt Main Road, Alkapuri, Vadodara - 390007, Near Alka Restaurant",+(91)-265-2337765
Agarwal Super Market,"F-18, Palav Park Shopping Centre, Waghodia Main Road, Waghodia, Vadodara - 390019, Opposite Mahesh Complex",+(91)-265-2524471
Shree Kalaji Kirana Store D..,"Sukan 6 Vemali Gav Merry Lend Party Plot Dhumal Chokadi, Dandia Bazar, Vadodara - 390001",+(91)-9537671467
Kanak Super Market,"Shop No : 3&4, Tp-1 FP 110 Nr Shreeji Villa-1, Opp, Kraft Solitaire Khodiyar Nagar Road, Sayajipura, Vadodara - 390019, Near Sayajipura",+(91)-9909983476
Skyrise Of Shree Balaji Gro..,"Sun Pharma Road, Atladara, Vadodara - 390012",+(91)-7211134693
Reliance Fresh,"Shop No 6 To 10, Pratham Complex, Akota, Vadodara - 390020, Opposite Taj Hotel",18001027382
Dazzy Food Industries,"Nehru Chacha Nagar Sayaji Park Society, Vadodara - 391760",+(91)-2668-264274
Kamlesh Super Stores,"Shop No 12, Kadva Patel Patidar Shopping Centre, Main Road, Karelibaug, Vadodara - 390018, Near Hanuman Temple",+(91)-9033845002
Sheetal Provision Store,"E 23, Sonalpark Society,Oppsaibaba School, Atladara Road, Tandalja, Vadodara - 390012, Near Miles Motor",+(91)-9638202205
Reliance Fresh,"Status Plaza, Padra Road, Akota, Vadodara - 390020, Near Akshar Chowk",18001027382
Maruti Provision Store,"53, Usha Nagar, Saiyed Vasna, Esi Road, Gotri Road, Vadodara - 390021, Near Mother School",+(91)-9998048711
Niyay Mander,"Jubilee Baug Road, Mandvi, Vadodara - 390001",+(91)-9537086544
SATGURU KRUPA DRYFRUIT AND ..,"Gf-6 Atlantis, Sarabhai Compound, Genda Circle, Vadodara - 390023, Opposite Swagat Petrol Pump",07947257145
Quality Fresh,"7 & 8, Akashdip Society,, Karelibaug, Vadodara - 390018",+(91)-265-2491149
Shakti Provision Store,"2 3  Shivalaya Complex, Vasna Main Road, Vasna Road, Vadodara - 390007, Opposite Raneshwar Temple",+(91)-265-2250643
Z Super Market,"E/3/4/5 Bhagwat Nagar, Vadodara, Sama Road, Vadodara - 390002, Near New Sama Road",+(91)-9824908695
Agrawal Farm Fresh,"Lotus Enora, Gotri, Vadodara - 390021, Gotri Road",+(91)-9924646101
Shree Mahalaxmi Super Marke..,"2, 3, 4, Lotus Plaza, Gotri, Vadodara - 390021, Opposite Narayan Garden, New Alkapuri",+(91)-265-2980212
Mahalaxmi Provision Store,"C-17, Bhagyoday Shopping Centre, Refinery Road, Gorwa, Vadodara - 390016, Opposite Sahyog Garden",+(91)-265-2290192
Mangal SUPER Market,"Gf- 1-2-3,Solaris,Tower -B, Vasna Bhayli Road, Bhaili, Vadodara - 391410, Nr, Waves Club",+(91)-9925757924
Shree Krishna Super Store,"Shop No 10 & 11, Sundaram Apartment, Gotri Road, Vadodara - 390021, Opposite Ashish Banquet Hall",+(91)-265-2352599
Shreeji Provision Store,"Vemar, Vadodara - 391240, primary school",+(91)-9638469813
Vijay Provision Store,"Shiv Shakti Nagar, Jayram Nagar, Makarpura, Vadodara - 390014",+(91)-9662793452
South Enterprise,"5, Sulabh Flats, Ellora Park, Vadodara - 390023, Nr. Ellora Milk Centre",+(91)-8128880065
Spencers Express Store,"30, Taksh Complex, Vasna Road, Vadodara - 390007",18002660134
Shri Ji Pro. Storeeee,"Sona Nagar Society, Nava Bazar, Karjan, Miyagam Karjan, Vadodara - 391240",+(91)-9429944828
Almadar Chat Center,"6b,Harsh Complex, Old Padra Road, Vadodara - 390020, Below Bank Of Baroda",+(91)-9879857533
Reliance Super,"Mangalya Hall, Harni Road, Vadodara - 390006, Near Airport Circle",18001027382
Kapole Store,"26, Suryakiran Complex, Main Road, Old Padra Road, Vadodara - 390015, Near Manisha Crossing",+(91)-265-2312493
Shree Jagdamba Chevda Mart,"Vinoba Bhave Road, Mandvi, Vadodara - 390001, Near Ahmedabadi Pole",+(91)-265-2432613
Super 99,"S19, Second Floor, Inorbit Mall Vadodara, Shubhanpura, Gorwa Road, Gorwa Vadodara, Vadodara - 390003",+(91)-9999786598
Chetan Provision Store,"Nr Four Ways, Vadodara HO, Vadodara - 390001, Air Force Road",+(91)-265-2637511
F M Dabhoiwala,"Gendi Gate Road, Vadodara - 390017, Near Gendi Gate, Opposite Wadi Police Station",+(91)-265-2521355
Payal Traders,"Shop No 6, Rudrax Complex, Narmada Canal Main Road, Chhani, Vadodara - 391740, Near Giriraj Avenue, Chhani Jakat Naka",+(91)-265-2772610
Shiv Shakti Provision Store..,"5, Shiv Shakti Nagar, Akota Road, Akota, Vadodara - 390020, Opposite Police Lane",+(91)-0265-2314772
Reliance Fresh,"Sun Enclave, Karelibaug, Vadodara - 390018",18001027382
H M Dabhoiwala,"Sai Kruti, Hari Nagar Char Rasta, Gotri, Vadodara - 390021",+(91)-9512049932
Serdi Ras Ghar,"Gj Sh 62, Chhota Udepur, Vadodara - 391165",+(91)-9898755352
Pannu Grocery Store,"24, gurunank nagar, old chani road, Nizampura, Vadodara - 390002, near natasha park",+(91)-8487826627
Mehjal Adhesive Tapes Pvt L..,"Manjusar, Vadodara - 391775",+(91)-9898585074
Shri Mart Super Store,"8/9, Ground Floor, Lotus Enora, Laxmipura, Vadodara - 391101, Opposite Rutuvilla Bungalows, Near Benjamins World School, New Alkapuri",+(91)-8734917532
Ravi Wholesale Store,"H328, Ghanshyam Park Society, Ekta Nagar, New Sama, Vadodara - 391740",+(91)-7698058474
Jay Ambe Provision Stores,"A/45,Bajrangnagar,Baroda, Danteshwar, Vadodara - 390004",+(91)-9427837376
Reliance Fresh,"Giri Kendra, Ajwa Road, Vadodara - 390019",+(91)-0265-6457262
Jeevat Agency,"Sadar Bazar, Fatehgunj Main Road, Fatehgunj, Vadodara - 390008, Near HDFC ATM",+(91)-265-2786630
Shree Rajkamal Masala,"Shree Raj Kamal Masala, Chokhandi Main Road, Chowkhandi, Vadodara - 390017, Near Gendi Gate NearChokhandi Char Rasta",+(91)-2663-2415180
Spencers Daily Store,"Manjalpur, Vadodara - 390011",+(91)-0265-2970822
Relief Medical & Provision ..,"16, Sahjanand Apartment, Main Road, Vadodara - 390019, Opposite Vinayak Hospital",+(91)-0265-2566556
New Sonal Plastic,"Vadodara, Patel Park Society, Warasiya, Vadodara - 390006",+(91)-9824141786
Shreeji Provision Store,"B/19, Sarswati Society, Gotri Road, Vadodara - 390021, Near Esi Hospital",+(91)-9624962837
Mahakali Point,"Danteshwar, Vadodara - 390004",+(91)-9727759708
Padmavati Traders,"Bodeli, Vadodara - 391135",+(91)-8888558411
Oza Mahendra Shantilal,"Amar Society, Karadiya, Bajwa, Vadodara - 391310",+(91)-9574525599
Shraddha Gruh Udhyog,"Shop No-2, Galaxy Complex, Near Darbar Chowkdi, Manjalpur, Vadodara - 390011, Opposite HDFC Bank",+(91)-9898068493
Tower Shoes Opp Tower,"Jainawaga, Dabhoi, Dabhoi - 391110",+(91)-9998793316
Nileshkumar Ramanlal Shah,"Sh 63, Waghodia Road, Vadodara - 390025",+(91)-9825032391
Aakash Provision Store,"Bill, Vadodara - 391410",+(91)-9909677130
Jayant Store,"22, Satya Park, Ellora Park Road, Ellora Park, Vadodara - 390023, Opposite Hanuman Temple",+(91)-265-2397237
Pratik Khakhra & Namkeen,"Radhe Complex, Radhakrishna Society, Akota, Vadodara - 390020",+(91)-7405253644
Kabir Sweet And Farsan,"Vadodara Jambusar Hwy, Mobha Road, Vadodara - 391430, Near 391430",+(91)-9909239341
Bhagavati Provision Store,"Sh 11, Petlad, Vadodara - 391110",+(91)-7046850446
Bansilal Maganlal Pola,"A-2, C-15, E-39, Hathikhana Market Yard, Hathikhana, Vadodara - 390001",+(91)-265-2421279
Royal Namkeen,"Vega, Vadodara - 391107",+(91)-9426393942
Shree Jalaram Traders,"2, Ravi Commercial Shopping Centre, Jain Derasar Road, Manjalpur, Vadodara - 390011",+(91)-0265-2647675
Rana Ratilal Ramanlal,"Fatehpura Main Road, Bramin Faliya Nake, Kalupura, Fatehpura, Mandvi, Vadodara - 390001",+(91)-8128037611
Bansal Super Store,"Shop No - 1&2 Orchid Platina Maryland Party Plot, Sama Road, Vadodara - 390002, Near Sama Savli Road",
Agrawal Super Market,"Shop No-8, Gokul Complex, New Sama, Vadodara - 391740, Near Icici Bank Atm, Near Navrachana School",+(91)-9512768935
Shrinath Stores,"150, Ganga Jamuna Society, Subhanpura Main Road, Subhanpura, Vadodara - 390007, Near Golden Silver Appartment",+(91)-265-2282046
Agrawal Provision Stores,"Shop-1 Shreyas Apartment, Opp Seven7s Mall, Fateganj, Vadodara - 390002, Near Fatehgunj Petrol Pump",+(91)-7048283582
Shree Roopji Store,"3, Makrand Desai Road, Gadapura, Diwalipura, Vadodara - 390007",+(91)-265-2324023
Manorath Departmental,"Sumant Park, Samta Road, Gotri, Vadodara - 390021",+(91)-9898693010
M.J. Kokniwala,"Dandia Bazar, Tarapur Road, Jetpurpavi, Jetpurpavi, Chhota Udepur, Vadodara - 391160",+(91)-2664-242158
R D Masala & Dryfruits,"G 3, K P Landmark, Vasna Bhayli Road-Bhaili, Vadodara - 391410, Opposite Bright Day School",+(91)-7486011115
Reliance Fresh,"SAI Arpan, Pratapnagar, Vadodara - 390009",+(91)-0265-6459631
Bhaiji Namkeen,"38 , Shiv Darshan Complex, Vasna Road, Vadodara - 390007, Opposite Aditya Building,Below Urav Hospital",+(91)-8141313448
gurukrupa Patanjali Store,"Dwarka Nagri, Jalram Nagar, Madhavpura, Vadodara - 390019",+(91)-9049835501
Kismat Footwear,"Waghodia, Vadodara - 390019",+(91)-9974166801
Bansal Super Market,"Gotri Vasna Ring Road, Gotri Road, Vadodara - 390021, Near Neelambar Cross Road",+(91)-9429665974
Reliance Fresh,"11-12, Nutan Bharat Society, Sarthi Complex, Alkapuri, Vadodara - 390007, Opposite M K High School, Opposite Nutan Bharat Club",+(91)-265-6459680
Hypercity Retail India Ltd ..,"Ground Floor, Inorbit Mall, Gorwa Road, Gorwa, Vadodara - 390016, Off Genda Circle",+(91)-0265-2388881
Dabhoiwala Grain Hub,"Ground Floor, Sai Kruti,, Rajesh Tower Road, Harinagar, Vadodara - 390021, Near Harinagar Bridge",+(91)-9512049932
H M Dabhoiwala,"Gaekwad Chambers, Chowkhandi, Chowkhandi, Vadodara - 390017, Near Gendi Gate",+(91)-265-2520571
Mahesh Super Market,"Shop No.2,3,4,5, Santkrupa Apartment, Akota Road, Akota, Vadodara - 390020, Near R C Patel Estate, Aswamegh Complex Ke Samne",+(91)-265-2310510
Bansal Super Market,"5, Dipavli Society, Water Tank Road, Karelibaug, Vadodara - 390018, Near Amrapali Complex",+(91)-9427983314
Alembic Employees Co Op Sup..,"Alembic Tower, Subhanpura Road, Subhanpura, Vadodara - 390023, Near Gunjan Tower",+(91)-265-2290733
Harni Super Market,"Shop No-1 to 6 Dev Aashish Square Opp. Shree Balaji Party Plot, Harni, Harni, Vadodara - 390022, Near Motnath Mahadev Road",+(91)-9714577747
Bansal Store,"Pani Tanki Road, Vadodara - 390018, Karelibagh",+(91)-9974483096
Shree Goverdhan Provision S..,"25, Harinagar Society, Gotri Road, Gotri Road, Vadodara - 390021",+(91)-0265-2396781
Rajlakshmi Super Store,"15/16, Signet Plaza, Gotri Road, Vadodara - 390021, Near Kunal Cross Road",+(91)-9735983900
Jalaram Provision Store,"Chokdi, Gujarat, Muval, Vadodara - 391430",+(91)-9879090250
Apexa Dry Fruits Stores,"4, Sandeep Apartment, R C Dutt Main Road, Alkapuri, Vadodara - 390007, Near Alka Restaurant",+(91)-265-2337765
Agarwal Super Market,"F-18, Palav Park Shopping Centre, Waghodia Main Road, Waghodia, Vadodara - 390019, Opposite Mahesh Complex",+(91)-265-2524471
Shree Kalaji Kirana Store D..,"Sukan 6 Vemali Gav Merry Lend Party Plot Dhumal Chokadi, Dandia Bazar, Vadodara - 390001",+(91)-9537671467
Kanak Super Market,"Shop No : 3&4, Tp-1 FP 110 Nr Shreeji Villa-1, Opp, Kraft Solitaire Khodiyar Nagar Road, Sayajipura, Vadodara - 390019, Near Sayajipura",+(91)-9909983476
Skyrise Of Shree Balaji Gro..,"Sun Pharma Road, Atladara, Vadodara - 390012",+(91)-7211134693
Reliance Fresh,"Shop No 6 To 10, Pratham Complex, Akota, Vadodara - 390020, Opposite Taj Hotel",18001027382
Dazzy Food Industries,"Nehru Chacha Nagar Sayaji Park Society, Vadodara - 391760",+(91)-2668-264274
Kamlesh Super Stores,"Shop No 12, Kadva Patel Patidar Shopping Centre, Main Road, Karelibaug, Vadodara - 390018, Near Hanuman Temple",+(91)-9033845002
Sheetal Provision Store,"E 23, Sonalpark Society,Oppsaibaba School, Atladara Road, Tandalja, Vadodara - 390012, Near Miles Motor",+(91)-9638202205
Reliance Fresh,"Status Plaza, Padra Road, Akota, Vadodara - 390020, Near Akshar Chowk",18001027382
Maruti Provision Store,"53, Usha Nagar, Saiyed Vasna, Esi Road, Gotri Road, Vadodara - 390021, Near Mother School",+(91)-9998048711
Niyay Mander,"Jubilee Baug Road, Mandvi, Vadodara - 390001",+(91)-9537086544
SATGURU KRUPA DRYFRUIT AND ..,"Gf-6 Atlantis, Sarabhai Compound, Genda Circle, Vadodara - 390023, Opposite Swagat Petrol Pump",07947257145
Quality Fresh,"7 & 8, Akashdip Society,, Karelibaug, Vadodara - 390018",+(91)-265-2491149
Shakti Provision Store,"2 3  Shivalaya Complex, Vasna Main Road, Vasna Road, Vadodara - 390007, Opposite Raneshwar Temple",+(91)-265-2250643
Z Super Market,"E/3/4/5 Bhagwat Nagar, Vadodara, Sama Road, Vadodara - 390002, Near New Sama Road",+(91)-9824908695
Agrawal Farm Fresh,"Lotus Enora, Gotri, Vadodara - 390021, Gotri Road",+(91)-9924646101
Shree Mahalaxmi Super Marke..,"2, 3, 4, Lotus Plaza, Gotri, Vadodara - 390021, Opposite Narayan Garden, New Alkapuri",+(91)-265-2980212
Mahalaxmi Provision Store,"C-17, Bhagyoday Shopping Centre, Refinery Road, Gorwa, Vadodara - 390016, Opposite Sahyog Garden",+(91)-265-2290192
Mangal SUPER Market,"Gf- 1-2-3,Solaris,Tower -B, Vasna Bhayli Road, Bhaili, Vadodara - 391410, Nr, Waves Club",+(91)-9925757924
Shree Krishna Super Store,"Shop No 10 & 11, Sundaram Apartment, Gotri Road, Vadodara - 390021, Opposite Ashish Banquet Hall",+(91)-265-2352599
Shreeji Provision Store,"Vemar, Vadodara - 391240, primary school",+(91)-9638469813
Vijay Provision Store,"Shiv Shakti Nagar, Jayram Nagar, Makarpura, Vadodara - 390014",+(91)-9662793452
South Enterprise,"5, Sulabh Flats, Ellora Park, Vadodara - 390023, Nr. Ellora Milk Centre",+(91)-8128880065
Spencers Express Store,"30, Taksh Complex, Vasna Road, Vadodara - 390007",18002660134
Shri Ji Pro. Storeeee,"Sona Nagar Society, Nava Bazar, Karjan, Miyagam Karjan, Vadodara - 391240",+(91)-9429944828
Almadar Chat Center,"6b,Harsh Complex, Old Padra Road, Vadodara - 390020, Below Bank Of Baroda",+(91)-9879857533
Reliance Super,"Mangalya Hall, Harni Road, Vadodara - 390006, Near Airport Circle",18001027382
Kapole Store,"26, Suryakiran Complex, Main Road, Old Padra Road, Vadodara - 390015, Near Manisha Crossing",+(91)-265-2312493
Shree Jagdamba Chevda Mart,"Vinoba Bhave Road, Mandvi, Vadodara - 390001, Near Ahmedabadi Pole",+(91)-265-2432613
Super 99,"S19, Second Floor, Inorbit Mall Vadodara, Shubhanpura, Gorwa Road, Gorwa Vadodara, Vadodara - 390003",+(91)-9999786598
Chetan Provision Store,"Nr Four Ways, Vadodara HO, Vadodara - 390001, Air Force Road",+(91)-265-2637511
F M Dabhoiwala,"Gendi Gate Road, Vadodara - 390017, Near Gendi Gate, Opposite Wadi Police Station",+(91)-265-2521355
Payal Traders,"Shop No 6, Rudrax Complex, Narmada Canal Main Road, Chhani, Vadodara - 391740, Near Giriraj Avenue, Chhani Jakat Naka",+(91)-265-2772610
Shiv Shakti Provision Store..,"5, Shiv Shakti Nagar, Akota Road, Akota, Vadodara - 390020, Opposite Police Lane",+(91)-0265-2314772
Reliance Fresh,"Sun Enclave, Karelibaug, Vadodara - 390018",18001027382
H M Dabhoiwala,"Sai Kruti, Hari Nagar Char Rasta, Gotri, Vadodara - 390021",+(91)-9512049932
Serdi Ras Ghar,"Gj Sh 62, Chhota Udepur, Vadodara - 391165",+(91)-9898755352
Pannu Grocery Store,"24, gurunank nagar, old chani road, Nizampura, Vadodara - 390002, near natasha park",+(91)-8487826627
Mehjal Adhesive Tapes Pvt L..,"Manjusar, Vadodara - 391775",+(91)-9898585074
Shri Mart Super Store,"8/9, Ground Floor, Lotus Enora, Laxmipura, Vadodara - 391101, Opposite Rutuvilla Bungalows, Near Benjamins World School, New Alkapuri",+(91)-8734917532
Ravi Wholesale Store,"H328, Ghanshyam Park Society, Ekta Nagar, New Sama, Vadodara - 391740",+(91)-7698058474
Jay Ambe Provision Stores,"A/45,Bajrangnagar,Baroda, Danteshwar, Vadodara - 390004",+(91)-9427837376
Reliance Fresh,"Giri Kendra, Ajwa Road, Vadodara - 390019",+(91)-0265-6457262
Jeevat Agency,"Sadar Bazar, Fatehgunj Main Road, Fatehgunj, Vadodara - 390008, Near HDFC ATM",+(91)-265-2786630
Shree Rajkamal Masala,"Shree Raj Kamal Masala, Chokhandi Main Road, Chowkhandi, Vadodara - 390017, Near Gendi Gate NearChokhandi Char Rasta",+(91)-2663-2415180
Spencers Daily Store,"Manjalpur, Vadodara - 390011",+(91)-0265-2970822
Relief Medical & Provision ..,"16, Sahjanand Apartment, Main Road, Vadodara - 390019, Opposite Vinayak Hospital",+(91)-0265-2566556
New Sonal Plastic,"Vadodara, Patel Park Society, Warasiya, Vadodara - 390006",+(91)-9824141786
Shreeji Provision Store,"B/19, Sarswati Society, Gotri Road, Vadodara - 390021, Near Esi Hospital",+(91)-9624962837
Mahakali Point,"Danteshwar, Vadodara - 390004",+(91)-9727759708
Padmavati Traders,"Bodeli, Vadodara - 391135",+(91)-8888558411
Oza Mahendra Shantilal,"Amar Society, Karadiya, Bajwa, Vadodara - 391310",+(91)-9574525599
Shraddha Gruh Udhyog,"Shop No-2, Galaxy Complex, Near Darbar Chowkdi, Manjalpur, Vadodara - 390011, Opposite HDFC Bank",+(91)-9898068493
Tower Shoes Opp Tower,"Jainawaga, Dabhoi, Dabhoi - 391110",+(91)-9998793316
Nileshkumar Ramanlal Shah,"Sh 63, Waghodia Road, Vadodara - 390025",+(91)-9825032391
Aakash Provision Store,"Bill, Vadodara - 391410",+(91)-9909677130
Jayant Store,"22, Satya Park, Ellora Park Road, Ellora Park, Vadodara - 390023, Opposite Hanuman Temple",+(91)-265-2397237
Pratik Khakhra & Namkeen,"Radhe Complex, Radhakrishna Society, Akota, Vadodara - 390020",+(91)-7405253644
Kabir Sweet And Farsan,"Vadodara Jambusar Hwy, Mobha Road, Vadodara - 391430, Near 391430",+(91)-9909239341
Bhagavati Provision Store,"Sh 11, Petlad, Vadodara - 391110",+(91)-7046850446
Bansilal Maganlal Pola,"A-2, C-15, E-39, Hathikhana Market Yard, Hathikhana, Vadodara - 390001",+(91)-265-2421279
Royal Namkeen,"Vega, Vadodara - 391107",+(91)-9426393942
Shree Jalaram Traders,"2, Ravi Commercial Shopping Centre, Jain Derasar Road, Manjalpur, Vadodara - 390011",+(91)-0265-2647675
Rana Ratilal Ramanlal,"Fatehpura Main Road, Bramin Faliya Nake, Kalupura, Fatehpura, Mandvi, Vadodara - 390001",+(91)-8128037611
Bansal Super Store,"Shop No - 1&2 Orchid Platina Maryland Party Plot, Sama Road, Vadodara - 390002, Near Sama Savli Road",
Agrawal Super Market,"Shop No-8, Gokul Complex, New Sama, Vadodara - 391740, Near Icici Bank Atm, Near Navrachana School",+(91)-9512768935
Shrinath Stores,"150, Ganga Jamuna Society, Subhanpura Main Road, Subhanpura, Vadodara - 390007, Near Golden Silver Appartment",+(91)-265-2282046
Agrawal Provision Stores,"Shop-1 Shreyas Apartment, Opp Seven7s Mall, Fateganj, Vadodara - 390002, Near Fatehgunj Petrol Pump",+(91)-7048283582
Shree Roopji Store,"3, Makrand Desai Road, Gadapura, Diwalipura, Vadodara - 390007",+(91)-265-2324023
Manorath Departmental,"Sumant Park, Samta Road, Gotri, Vadodara - 390021",+(91)-9898693010
M.J. Kokniwala,"Dandia Bazar, Tarapur Road, Jetpurpavi, Jetpurpavi, Chhota Udepur, Vadodara - 391160",+(91)-2664-242158
R D Masala & Dryfruits,"G 3, K P Landmark, Vasna Bhayli Road-Bhaili, Vadodara - 391410, Opposite Bright Day School",+(91)-7486011115
Reliance Fresh,"SAI Arpan, Pratapnagar, Vadodara - 390009",+(91)-0265-6459631
Bhaiji Namkeen,"38 , Shiv Darshan Complex, Vasna Road, Vadodara - 390007, Opposite Aditya Building,Below Urav Hospital",+(91)-8141313448
gurukrupa Patanjali Store,"Dwarka Nagri, Jalram Nagar, Madhavpura, Vadodara - 390019",+(91)-9049835501
Kismat Footwear,"Waghodia, Vadodara - 390019",+(91)-9974166801
Shree Goverdhan Provision S..,"25, Harinagar Society, Gotri Road, Gotri Road, Vadodara - 390021",+(91)-0265-2396781
Rajlakshmi Super Store,"15/16, Signet Plaza, Gotri Road, Vadodara - 390021, Near Kunal Cross Road",+(91)-9735983900
Apexa Dry Fruits Stores,"4, Sandeep Apartment, R C Dutt Main Road, Alkapuri, Vadodara - 390007, Near Alka Restaurant",+(91)-265-2337765
Agarwal Super Market,"F-18, Palav Park Shopping Centre, Waghodia Main Road, Waghodia, Vadodara - 390019, Opposite Mahesh Complex",+(91)-265-2524471
Shree Kalaji Kirana Store D..,"Sukan 6 Vemali Gav Merry Lend Party Plot Dhumal Chokadi, Dandia Bazar, Vadodara - 390001",+(91)-9537671467
Kanak Super Market,"Shop No : 3&4, Tp-1 FP 110 Nr Shreeji Villa-1, Opp, Kraft Solitaire Khodiyar Nagar Road, Sayajipura, Vadodara - 390019, Near Sayajipura",+(91)-9909983476
Skyrise Of Shree Balaji Gro..,"Sun Pharma Road, Atladara, Vadodara - 390012",+(91)-7211134693
Reliance Fresh,"Shop No 6 To 10, Pratham Complex, Akota, Vadodara - 390020, Opposite Taj Hotel",18001027382
Dazzy Food Industries,"Nehru Chacha Nagar Sayaji Park Society, Vadodara - 391760",+(91)-2668-264274
Kamlesh Super Stores,"Shop No 12, Kadva Patel Patidar Shopping Centre, Main Road, Karelibaug, Vadodara - 390018, Near Hanuman Temple",+(91)-9033845002
Sheetal Provision Store,"E 23, Sonalpark Society,Oppsaibaba School, Atladara Road, Tandalja, Vadodara - 390012, Near Miles Motor",+(91)-9638202205
Reliance Fresh,"Status Plaza, Padra Road, Akota, Vadodara - 390020, Near Akshar Chowk",18001027382
Maruti Provision Store,"53, Usha Nagar, Saiyed Vasna, Esi Road, Gotri Road, Vadodara - 390021, Near Mother School",+(91)-9998048711
Niyay Mander,"Jubilee Baug Road, Mandvi, Vadodara - 390001",+(91)-9537086544
SATGURU KRUPA DRYFRUIT AND ..,"Gf-6 Atlantis, Sarabhai Compound, Genda Circle, Vadodara - 390023, Opposite Swagat Petrol Pump",07947257145
Quality Fresh,"7 & 8, Akashdip Society,, Karelibaug, Vadodara - 390018",+(91)-265-2491149
Shakti Provision Store,"2 3  Shivalaya Complex, Vasna Main Road, Vasna Road, Vadodara - 390007, Opposite Raneshwar Temple",+(91)-265-2250643
Z Super Market,"E/3/4/5 Bhagwat Nagar, Vadodara, Sama Road, Vadodara - 390002, Near New Sama Road",+(91)-9824908695
Agrawal Farm Fresh,"Lotus Enora, Gotri, Vadodara - 390021, Gotri Road",+(91)-9924646101
Shree Mahalaxmi Super Marke..,"2, 3, 4, Lotus Plaza, Gotri, Vadodara - 390021, Opposite Narayan Garden, New Alkapuri",+(91)-265-2980212
Mahalaxmi Provision Store,"C-17, Bhagyoday Shopping Centre, Refinery Road, Gorwa, Vadodara - 390016, Opposite Sahyog Garden",+(91)-265-2290192
Mangal SUPER Market,"Gf- 1-2-3,Solaris,Tower -B, Vasna Bhayli Road, Bhaili, Vadodara - 391410, Nr, Waves Club",+(91)-9925757924
Shree Krishna Super Store,"Shop No 10 & 11, Sundaram Apartment, Gotri Road, Vadodara - 390021, Opposite Ashish Banquet Hall",+(91)-265-2352599
Vijay Provision Store,"Shiv Shakti Nagar, Jayram Nagar, Makarpura, Vadodara - 390014",+(91)-9662793452
